,features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
0,7982642,73.8562851,18.5197887,Navagraha Shani Mandir,"religion,hindu_temples,interesting_places"
4,4982515,73.8553009,18.5204773,Shaniwar Wada Amphitheatre,"architecture,historic_architecture,fortifications,historic,cultural,theatres_and_entertainments,interesting_places,other_theatres,other_fortifications,amphitheatres"
5,1880288,73.8553085,18.5206261,Bajirao I statue,"historic,monuments_and_memorials,interesting_places,monuments"
8,5102363,73.856308,18.5190258,Prem Vitthal,"religion,other_temples,interesting_places"
9,11471114,73.8572388,18.5190296,Kasba Ganpati,"religion,hindu_temples,interesting_places"
12,5167809,73.8571014,18.5188332,Phani Ali Ganesh Mandir,"religion,hindu_temples,interesting_places"
14,7230246,73.8553391,18.5193977,Shaniwarwada,"fortifications,historic,interesting_places,other_fortifications"
15,1880287,73.8566437,18.5187531,Lal Mahal,"other,unclassified_objects,interesting_places,tourist_object"
16,5167808,73.8570709,18.518755,Kala Datta Mandir,"religion,hindu_temples,interesting_places"
17,5686924,73.8560791,18.5188084,Shrimant Peshwe Ganesh Mandir,"religion,hindu_temples,interesting_places"
22,7977880,73.8584595,18.5189362,Shrimahalakshmi Ganesh Mandir,"religion,hindu_temples,interesting_places"
23,1880294,73.8585434,18.5189686,Chavhan Shriram Mandir,"religion,hindu_temples,interesting_places"
24,5102362,73.8569412,18.517704,Shrikunthunath Shwetambar Jain Mandir,"religion,other_temples,interesting_places"
25,1880290,73.8534927,18.520628,Amruteshwar Mandir,"religion,hindu_temples,interesting_places"
26,1880283,73.8538895,18.5182076,Dakshinmukhi Maruti Mandir,"religion,hindu_temples,interesting_places"
27,7989635,73.8581619,18.516901,Pasodya Vithoba Mandir,"religion,hindu_temples,interesting_places"
28,11422000,73.8561096,18.5164299,Shreemant Dagadusheth Halwai Sarvjanik Ganpati,"religion,hindu_temples,interesting_places"
29,7087223,73.854187,18.5168629,Kibe Laxmi Theatre,"cultural,cinemas,theatres_and_entertainments,interesting_places"
30,7982647,73.8547745,18.5165138,Tambdi Jogeshwari,"religion,hindu_temples,interesting_places"
32,1880357,73.8544388,18.5243683,Mangala Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
33,5167811,73.8615952,18.5198174,Ram krishna temple,"religion,hindu_temples,interesting_places"
34,9958524,73.851799,18.5194435,Shaniwar Veer Maruti Mandir,"religion,hindu_temples,interesting_places"
35,7982649,73.8556061,18.5156689,Belbag Mandir,"religion,hindu_temples,interesting_places"
36,5167807,73.8594131,18.5160542,Sonya Maruti,"religion,hindu_temples,interesting_places"
37,5102361,73.8598328,18.5161686,Tamboli Masjid,"religion,other_temples,interesting_places"
38,14642207,73.8618088,18.5179367,Gurdwara Sri Guru Singh Sabha Ganesh Peth,"religion,other_temples,interesting_places"
39,5102369,73.8618774,18.5178452,Gurusingh Sabha Gurudwara,"religion,other_temples,interesting_places"
40,7982646,73.85466,18.5150471,Guruji Talim,"religion,hindu_temples,interesting_places"
42,5686923,73.8554993,18.5137291,Tulshibaug Ram Mandir,"religion,hindu_temples,interesting_places"
43,5102365,73.8616943,18.5151443,Madar Chala Masjid,"religion,other_temples,interesting_places"
44,5167810,73.8627777,18.5162411,Dulya Maruti,"religion,hindu_temples,interesting_places"
45,11633156,73.8539429,18.5136967,Bank of Maharashtra,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures"
47,7982643,73.8491058,18.5199013,Omkareshwar Mandir,"religion,hindu_temples,interesting_places"
48,5686945,73.863739,18.5233192,Prakash Navajawan Mandal,"religion,hindu_temples,interesting_places"
49,7082315,73.8645706,18.5197773,Apollo,"cultural,cinemas,theatres_and_entertainments,interesting_places"
50,7982648,73.8604813,18.5138168,Someshwar Mandir,"religion,hindu_temples,interesting_places"
51,4982510,73.8486938,18.5219917,Balgandharva Rangmandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
52,7982645,73.8537369,18.5131264,Shani Mandir,"religion,hindu_temples,interesting_places"
53,7979619,73.8501816,18.5152988,Patrya Maruti,"religion,hindu_temples,interesting_places"
54,1880356,73.850647,18.5260715,Krushnarao Gangurde,"historic,monuments_and_memorials,interesting_places,monuments"
55,1880253,73.8482208,18.5225258,Rani Laxmibai,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
56,5102368,73.8612213,18.5130978,Bagban Masjid,"religion,other_temples,interesting_places"
57,7979930,73.8480682,18.5181217,Shri Sadguru Ramanand Bidkar Maharaj Math,"religion,hindu_temples,interesting_places"
58,7989638,73.8655777,18.5191116,Lakshmishwar Mandir,"religion,hindu_temples,interesting_places"
59,7989639,73.8499985,18.5263767,Jangli Maharaj Mandir,"religion,hindu_temples,interesting_places"
60,4959609,73.8488617,18.5157948,Lokmanya Tilak Museum,"cultural,museums,interesting_places,other_museums"
62,5102370,73.8660355,18.5208378,Avatar Meher Baba Pune Centre,"religion,other_temples,interesting_places"
63,11567232,73.8568268,18.5293007,"College of Engineering, Pune","architecture,historic_architecture,interesting_places,other_buildings_and_structures"
64,1880261,73.853714,18.5119362,Sarvajanik Kaka,"historic,monuments_and_memorials,interesting_places,monuments"
65,7989637,73.8661346,18.5202274,Raste Wada Datta Mandir,"religion,hindu_temples,interesting_places"
66,1880355,73.8573303,18.5293941,COEP Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
67,15840254,73.8478012,18.5235996,Papal Seminary,"religion,other_temples,interesting_places"
68,15153727,73.8478012,18.5235996,Jnana-Deepa Vidyapeeth,"religion,other_temples,interesting_places"
71,11540545,73.8500519,18.5270214,Pataleshwar,"religion,historic,hindu_temples,archaeology,interesting_places,other_archaeological_sites"
73,7979443,73.865921,18.5175686,Lakerya Maruti,"religion,hindu_temples,interesting_places"
75,11564017,73.8498459,18.526947,Pataleshwar cave temple,"religion,hindu_temples,interesting_places"
77,7989634,73.8502655,18.5132694,Vishweshwar Mandir,"religion,hindu_temples,interesting_places"
79,7982641,73.8477631,18.5160198,Bhajiram Mandir,"religion,hindu_temples,interesting_places"
80,7982640,73.8477936,18.515295,Modi Ganpati,"religion,hindu_temples,interesting_places"
81,11776981,73.8544388,18.510767,Raja Dinkar Kelkar Museum,"cultural,museums,interesting_places,other_museums"
82,9958523,73.8502655,18.5123844,Hanuman Mandir,"religion,hindu_temples,interesting_places"
